education,skills,interests,experience,passout_year,career_preference,target_career
MBA,Communication;Data Analysis;Leadership;Problem Solving,Data,3,2022,Fast Growth,HR Analyst
12th PCB,Communication;Critical Thinking;Public Speaking;Teaching;Writing,Teaching,1,2025,Government,Teacher
BSc,Communication;Data Analysis;Excel;Statistics;Teaching;Writing,Research,4,2022,Government,Research Analyst
BSc,Data Analysis;Excel;Java;Power BI;Python;SQL;Statistics,Business,1,2025,Abroad Opportunity,Data Analyst
BA,Canva;Communication;Critical Thinking;Design;Power BI;Problem Solving;Tableau,Design;Product Management,2,2022,Startup Culture,UI/UX Designer
BBA,Canva;Communication;Data Analysis;Video Editing;Writing,Design;Marketing,2,2024,Startup Culture,Digital Marketer
BTech,Cloud;Communication;Critical Thinking;Finance;Python;SQL,AI;Startup,0,2026,Remote Job,Software Engineer
BSc,Communication;Public Speaking;Teaching;Writing,Healthcare;Research,1,2025,Job Security,Teacher
BBA,Communication;Critical Thinking;Data Analysis;Design;Excel;Problem Solving,AI;Consulting,6,2020,High Salary,Business Analyst
BA,AI/ML;Communication;Critical Thinking;Data Analysis;Design;Statistics;Writing,Healthcare,0,2025,Startup Culture,Research Analyst
MBA,Communication;Critical Thinking;Data Analysis;Design;Problem Solving;SQL,AI;Business,4,2022,Fast Growth,Operations Analyst
MTech,AI/ML;Cloud;Java;Machine Learning;Python;SQL;Video Editing,Coding;Data;Finance,1,2025,Startup Culture,ML Engineer
BSc,Canva;Communication;Critical Thinking;Machine Learning;Python,Business;Startup,5,2019,Government,UI/UX Designer
BTech,Cloud;Critical Thinking;Cybersecurity;Problem Solving,Cybersecurity,1,2024,High Salary,Cybersecurity Analyst
MCA,AI/ML;Cloud;Finance;Machine Learning;Python;SQL;Video Editing,AI;Coding;Teaching,6,2019,Startup Culture,ML Engineer
BBA,Communication;Data Analysis;Leadership;Marketing;Problem Solving;Writing,Product Management;Research,2,2024,Government,Product Manager
BCom,Canva;Communication;Marketing;Power BI,Design;Marketing;Startup,2,2024,High Salary,Digital Marketer
BBA,Communication;Critical Thinking;Data Analysis;Finance;Power BI;Statistics,Data,1,2023,Job Security,Financial Analyst
BBA,Communication;Data Analysis;Excel;Finance;Marketing;Public Speaking,Marketing,0,2026,High Salary,Marketing Analyst
MTech,AI/ML;Communication;Problem Solving;Python;SQL;Statistics,AI;Coding,6,2019,High Salary,AI Engineer
BTech,Cloud;Cybersecurity;Problem Solving;Python;SQL,Cybersecurity,2,2024,Remote Job,Cloud Engineer
MBA,AI/ML;Data Analysis;Design;Leadership;Problem Solving,Business;Product Management;Startup,2,2024,Fast Growth,Product Manager
BBA,AI/ML;Excel;Machine Learning;Marketing;Statistics,Business;Consulting;Marketing,1,2025,Startup Culture,Marketing Analyst
BCA,Critical Thinking;Java;Python;SQL,AI;Startup,5,2021,Abroad Opportunity,Software Engineer
BCom,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving,Business;Consulting,2,2024,High Salary,Management Consultant
BA,Communication;Leadership;Sales,Business;Healthcare;Management,5,2021,Fast Growth,Sales Manager
MCA,AI/ML;Data Analysis;Excel;Finance;Machine Learning;Python;SQL;Statistics,AI;Design;Research,3,2023,Fast Growth,Data Scientist
BCA,Excel;Power BI;Python;SQL;Statistics,AI;Healthcare,3,2022,Abroad Opportunity,Data Analyst
BTech,Communication;Data Analysis;Marketing,Business;Startup;Trading,5,2019,Fast Growth,Product Manager
MTech,Data Analysis;Machine Learning;Python;SQL;Statistics;Video Editing,AI,1,2025,Fast Growth,Data Scientist
MCom,Critical Thinking;Finance;Statistics,Data;Trading,1,2023,High Salary,Investment Analyst
12th PCB,Cloud;Communication;Critical Thinking;Problem Solving;Public Speaking;Teaching;Writing,Healthcare;Teaching,8,2018,Job Security,Teacher
BTech,AI/ML;Cloud;Machine Learning;Python;SQL,Coding;Data,3,2022,High Salary,AI Engineer
12th PCB,Critical Thinking;Sales;Teaching;Writing,Management;Research,2,2024,High Salary,Teacher
BBA,Canva;Communication;Marketing;Video Editing;Writing,Design;Startup,6,2019,High Salary,Digital Marketer
BSc,Canva;Cloud;Cybersecurity;SQL;Sales,Coding;Startup,2,2024,Government,Cloud Engineer
BBA,Communication;Cybersecurity;Data Analysis;Excel;Leadership;Problem Solving,Business;Management,2,2024,High Salary,Operations Analyst
BBA,Critical Thinking;Data Analysis;Excel;Problem Solving;SQL;Tableau;Writing,Business;Consulting,0,2025,Startup Culture,Business Analyst
BA,Communication;Data Analysis;Excel;Leadership;Problem Solving;Statistics,Business;Data;Marketing,3,2022,Job Security,HR Analyst
BCom,Communication;Data Analysis;Excel;Problem Solving;Python;SQL;Tableau,Data;Management,5,2021,Government,Operations Analyst
BSc,Cloud;Critical Thinking;Cybersecurity;Problem Solving;Public Speaking;Python;Tableau,Coding;Cybersecurity,1,2023,High Salary,Cybersecurity Analyst
Other,Canva;Communication;Critical Thinking;Design,Design,1,2025,Job Security,UI/UX Designer
MCA,Cloud;Critical Thinking;Java;Problem Solving;Public Speaking;Python;SQL,AI;Startup,4,2022,Remote Job,Software Engineer
MBA,Critical Thinking;Data Analysis;Leadership;Problem Solving,Business,2,2024,High Salary,Management Consultant
BTech,Cybersecurity;Design;Problem Solving;SQL;Sales,Coding,2,2024,Startup Culture,Cloud Engineer
BCA,Data Analysis;Excel;Power BI;Python;SQL;Statistics,Data,0,2026,Job Security,Data Analyst
12th PCM,AI/ML;Data Analysis;Power BI;Python;SQL;Statistics,AI;Business;Research,0,2026,Government,Data Analyst
BA,Communication;Critical Thinking;Public Speaking;Writing,Research;Teaching,5,2020,Abroad Opportunity,Teacher
MBA,Communication;Data Analysis;Excel;Machine Learning;Problem Solving;SQL,Business,3,2023,High Salary,Operations Analyst
MCA,Cloud;Python;SQL,AI;Cybersecurity,8,2018,Remote Job,Cloud Engineer
BBA,Communication;Data Analysis;Leadership;Marketing;Problem Solving,Business,4,2022,Fast Growth,Product Manager
BTech,Cybersecurity;Python;SQL,Coding;Startup,3,2022,Remote Job,Cloud Engineer
BCom,Communication;Critical Thinking;Excel;Finance;Statistics,Data;Trading,0,2025,Remote Job,Investment Analyst
BCA,Communication;Data Analysis;Excel;Problem Solving;SQL,Business;Consulting,0,2026,Government,Business Analyst
BTech,Critical Thinking;Java;Problem Solving;Python;SQL;Tableau,Coding;Management;Startup,4,2022,Abroad Opportunity,Software Engineer
MBA,Communication;Data Analysis;Finance,Business;Finance,5,2021,Remote Job,Financial Analyst
BCA,Cloud;Cybersecurity;Problem Solving;Python;SQL,Startup,1,2025,Startup Culture,Cloud Engineer
BBA,Communication;Data Analysis;Java;Leadership;Marketing;Sales,Business,3,2023,Abroad Opportunity,Sales Manager
BTech,AI/ML;Canva;Cloud;Machine Learning;Problem Solving;Python;SQL;Writing,AI;Coding,0,2026,High Salary,AI Engineer
BTech,Communication;Data Analysis;Finance;Leadership;Problem Solving,Business;Product Management,2,2022,High Salary,Management Consultant
BA,Communication;Marketing;Video Editing;Writing,Data;Marketing;Startup,0,2026,Government,Digital Marketer
BCA,Cloud;Cybersecurity;Problem Solving;Python;SQL,Startup,2,2022,Remote Job,Cloud Engineer
BA,Marketing;Public Speaking;Sales,Startup,2,2024,Government,Sales Manager
BCom,Communication;Data Analysis;Excel;Problem Solving;SQL;Video Editing,Business;Data,3,2021,Job Security,Operations Analyst
BTech,Communication;Data Analysis;Leadership;Teaching,Product Management;Startup,0,2025,Fast Growth,Product Manager
BTech,Cloud;Design;Java;Problem Solving;SQL,Coding;Startup,2,2022,Startup Culture,Software Engineer
BCA,Cloud;Critical Thinking;Problem Solving;Writing,Coding,1,2025,High Salary,Cybersecurity Analyst
BA,Canva;Communication;Critical Thinking;Marketing;Problem Solving,Startup,2,2024,Fast Growth,UI/UX Designer
BA,Cloud;Communication;Leadership;Marketing;Public Speaking;Sales,Business,2,2024,Fast Growth,Sales Manager
BTech,Cloud;Cybersecurity;Machine Learning;Problem Solving;Python;SQL,Coding;Startup,2,2024,Remote Job,Cloud Engineer
BA,Cloud;Communication;Video Editing;Writing,Design;Startup,4,2022,Startup Culture,Digital Marketer
BSc,AI/ML;Cybersecurity;Data Analysis;Machine Learning;Power BI;SQL;Statistics,Coding;Data;Research,3,2023,Fast Growth,Data Scientist
BCA,Cloud;Critical Thinking;Cybersecurity;Problem Solving;Python,Cybersecurity;Data,5,2021,High Salary,Cybersecurity Analyst
MTech,AI/ML;Cloud;Machine Learning;Public Speaking;Python;SQL,Coding;Data;Finance,1,2025,High Salary,ML Engineer
BSc,Communication;Critical Thinking;Power BI;Python;Statistics,Healthcare,1,2025,Abroad Opportunity,Research Analyst
BCom,Excel;Finance;Statistics,Data,1,2025,Remote Job,Investment Analyst
MBA,Communication;Data Analysis;Design;Excel;Finance;Statistics,Business;Finance,2,2024,Abroad Opportunity,Financial Analyst
BCA,Critical Thinking;Data Analysis;Power BI;Python;Statistics,AI;Data,4,2022,High Salary,Data Analyst
MBA,Communication;Excel;Power BI;Statistics;Writing,AI;Data;Marketing,4,2022,High Salary,Marketing Analyst
BTech,Communication;Data Analysis;Leadership;Machine Learning;Marketing;Problem Solving,Startup,1,2025,Fast Growth,Product Manager
BBA,Cloud;Communication;Data Analysis;Excel;Leadership,Business;Data;Startup,8,2018,Job Security,HR Analyst
BCA,Cloud;Cybersecurity;Problem Solving;Python,Coding;Cybersecurity,2,2023,Remote Job,Cloud Engineer
MBA,Communication;Cybersecurity;Leadership;Marketing;Public Speaking;Statistics,Startup,2,2024,Abroad Opportunity,Sales Manager
BTech,Cloud;Critical Thinking;Problem Solving,Coding;Data;Marketing,4,2022,Job Security,Cybersecurity Analyst
BBA,Communication;Data Analysis;Leadership,Business;Product Management,3,2023,Fast Growth,Product Manager
BCom,Communication;Critical Thinking;Excel;Statistics,Finance;Teaching;Trading,3,2022,Startup Culture,Investment Analyst
Other,Canva;Critical Thinking;Design;Problem Solving;Public Speaking,Design;Startup,1,2025,High Salary,UI/UX Designer
MBA,Communication;Critical Thinking;Excel;Problem Solving;Python;SQL;Statistics,Business;Consulting,1,2025,High Salary,Business Analyst
BTech,AI/ML;Canva;Cloud;Cybersecurity;Problem Solving;Python;SQL,Cybersecurity,3,2023,Job Security,Cloud Engineer
BBA,Canva;Communication;Data Analysis;Problem Solving;SQL,Business;Data,5,2020,Job Security,Operations Analyst
MBA,Communication;Leadership;Public Speaking;Sales,Business;Data;Management,2,2024,Fast Growth,Sales Manager
BCA,Data Analysis;Excel;Power BI;Python;SQL;Statistics,AI;Consulting;Data,2,2022,High Salary,Data Analyst
BSc,Cloud;Critical Thinking;Cybersecurity;Problem Solving;Python;Statistics;Teaching,Coding;Data,3,2023,High Salary,Cybersecurity Analyst
BTech,Communication;Critical Thinking;Excel;Problem Solving;SQL,Business;Data,8,2018,Startup Culture,Business Analyst
BTech,Cloud;Critical Thinking;Leadership;Python,Coding;Cybersecurity,2,2023,High Salary,Cybersecurity Analyst
BTech,AI/ML;Machine Learning;Problem Solving;Python;SQL;Statistics;Teaching,Coding,1,2025,Fast Growth,ML Engineer
BSc,Critical Thinking;Cybersecurity;Problem Solving;Python,Cybersecurity;Research,0,2025,High Salary,Cybersecurity Analyst
MBA,Critical Thinking;Data Analysis;Leadership;Problem Solving;Teaching,Management;Product Management,2,2024,Fast Growth,Product Manager
BTech,Communication;Critical Thinking;Data Analysis;Finance;Problem Solving,AI;Business;Management,0,2025,High Salary,Management Consultant
BCom,Communication;Data Analysis;Excel;Finance;Problem Solving;SQL,Management;Marketing,8,2017,Fast Growth,Operations Analyst
MBA,Communication;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL;Tableau,Data;Startup,4,2021,Remote Job,Business Analyst
BBA,Communication;Data Analysis;Excel;Leadership;Marketing;Public Speaking;Sales,Consulting;Management,1,2025,Fast Growth,Sales Manager
BSc,Canva;Data Analysis;Python;SQL;Statistics,Business;Data,1,2025,Fast Growth,Data Analyst
BTech,AI/ML;Cloud;Machine Learning;Power BI;Problem Solving;Python,Coding,6,2020,Startup Culture,AI Engineer
BTech,Communication;Critical Thinking;Data Analysis;Finance;Marketing;Problem Solving,Business;Consulting;Healthcare,1,2024,Government,Management Consultant
BCA,Cloud;Communication;Data Analysis;Excel;Python;Statistics,Data;Design,2,2023,High Salary,Data Analyst
MBA,Communication;Marketing;Video Editing;Writing,Marketing;Startup,2,2024,Fast Growth,Digital Marketer
BCom,Communication;Critical Thinking;Excel;Finance;Statistics;Teaching,Data;Trading,0,2025,High Salary,Investment Analyst
MCom,Critical Thinking;Data Analysis;Machine Learning;SQL;Statistics;Writing,Coding;Research,2,2024,Government,Research Analyst
BCA,Cloud;Critical Thinking;Cybersecurity;Problem Solving;Python;Statistics;Writing,Coding;Data;Teaching,3,2023,Fast Growth,Cybersecurity Analyst
MCA,Critical Thinking;Problem Solving;Python,Cybersecurity,5,2021,High Salary,Cybersecurity Analyst
BTech,Cloud;Cybersecurity;Public Speaking;Python,Coding;Startup,1,2025,High Salary,Cybersecurity Analyst
BBA,AI/ML;Communication;Machine Learning;Marketing;Writing,Design;Marketing,5,2021,Startup Culture,Digital Marketer
MBA,Communication;Critical Thinking;Data Analysis;Finance;Leadership;Problem Solving,Consulting;Management,4,2022,Startup Culture,Management Consultant
BCA,Cloud;Critical Thinking;Cybersecurity;Java;Tableau,AI;Coding;Data,6,2018,High Salary,Cybersecurity Analyst
MBA,AI/ML;Communication;Critical Thinking;Excel;Finance;Statistics,Finance;Marketing,4,2022,Remote Job,Investment Analyst
BA,Critical Thinking;Data Analysis;Finance;Statistics;Writing,Research,5,2021,Government,Research Analyst
MBA,Communication;Data Analysis;Excel;Problem Solving;SQL;Writing,Management;Teaching,3,2023,Government,Operations Analyst
BCom,Leadership;Marketing;Public Speaking,Design;Startup,1,2024,Abroad Opportunity,Sales Manager
BSc,Communication;Critical Thinking;Data Analysis;Statistics;Tableau;Writing,Data;Research,1,2024,Remote Job,Research Analyst
MBA,Canva;Communication;Data Analysis;Finance;Leadership,Consulting;Management;Trading,3,2023,Remote Job,Management Consultant
MBA,Canva;Communication;Data Analysis;Excel;Problem Solving;SQL,Consulting;Data;Management,1,2025,High Salary,Operations Analyst
MBA,Communication;Data Analysis;Excel;Python;Tableau,Data,0,2025,Government,Marketing Analyst
BA,Communication;Critical Thinking;Java;Sales;Statistics;Writing,Data;Research,1,2025,Government,Research Analyst
BTech,Cloud;Communication;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL,Consulting,4,2022,High Salary,Business Analyst
MTech,Cloud;Java;Machine Learning;SQL;Statistics,AI;Cybersecurity,1,2025,High Salary,ML Engineer
BCom,Communication;Critical Thinking;Excel;Finance;Marketing;Statistics,Business;Finance;Trading,4,2022,Government,Investment Analyst
BCom,Communication;Critical Thinking;Data Analysis;Excel;Machine Learning;Statistics,AI;Data;Finance,1,2025,Abroad Opportunity,Financial Analyst
BSc,Communication;Critical Thinking;Public Speaking;Teaching,Healthcare,1,2023,Job Security,Teacher
BSc,AI/ML;Canva;Data Analysis;Machine Learning;Python;SQL;Statistics;Video Editing,Consulting;Data,1,2024,Fast Growth,Data Scientist
BCom,Communication;Data Analysis;Java;Public Speaking;Statistics,Business;Design,2,2024,Job Security,Financial Analyst
BTech,AI/ML;Cybersecurity;Excel;Power BI;Python;Statistics,Business;Research,4,2020,Startup Culture,Data Analyst
BBA,Communication;Data Analysis;Excel;Leadership;Power BI;Problem Solving;Tableau,Business;Management,2,2024,Job Security,HR Analyst
MBA,AI/ML;Communication;Excel;Leadership;Problem Solving;SQL,Business;Data,0,2026,Abroad Opportunity,HR Analyst
BTech,Cloud;Critical Thinking;Java;Problem Solving;Python;SQL,Startup,2,2024,Remote Job,Software Engineer
BTech,AI/ML;Cloud;Machine Learning;Problem Solving;Python;Statistics,AI;Data,3,2022,High Salary,AI Engineer
BTech,AI/ML;Cloud;Machine Learning;Problem Solving;Public Speaking;Python;SQL,Coding;Data,1,2025,High Salary,AI Engineer
BBA,Communication;Data Analysis;Leadership;Marketing;Problem Solving,Business,2,2023,Fast Growth,Product Manager
BCom,Communication;Excel;Statistics,Business;Data,0,2026,Fast Growth,Marketing Analyst
BBA,Communication;Leadership;Marketing;Public Speaking;Sales;Statistics;Video Editing,Finance;Management;Startup,0,2024,Remote Job,Sales Manager
BTech,AI/ML;Java;Python;SQL;Statistics;Video Editing,Data,3,2023,High Salary,ML Engineer
BTech,AI/ML;Cloud;Cybersecurity;Problem Solving;Python;SQL,Coding;Research,3,2021,High Salary,AI Engineer
MBA,Canva;Communication;Marketing;Tableau;Video Editing;Writing,Data;Marketing,3,2023,Startup Culture,Digital Marketer
MBA,Communication;Critical Thinking;Excel;Finance;Statistics,Data;Finance;Trading,0,2026,Startup Culture,Investment Analyst
BA,Communication;Marketing;Video Editing;Writing,Design;Management;Startup,5,2021,Job Security,Digital Marketer
BTech,AI/ML;Critical Thinking;Python;SQL;Statistics;Writing,Finance;Research,0,2026,Startup Culture,Data Scientist
BCom,Communication;Data Analysis;Excel;Problem Solving;SQL;Video Editing,Data;Management;Marketing,0,2026,Remote Job,Operations Analyst
BCom,Communication;Excel;Finance;Machine Learning;Statistics,Business;Data,3,2023,Job Security,Financial Analyst
MBA,Communication;Data Analysis;Excel;SQL;Teaching,Management,1,2025,Startup Culture,Operations Analyst
BBA,Communication;Data Analysis;Excel;Problem Solving,Business;Data,6,2020,Government,HR Analyst
MBA,Communication;Data Analysis;Excel;Leadership;Marketing;SQL,Data;Research,2,2024,High Salary,Marketing Analyst
BTech,Cloud;Critical Thinking;Problem Solving;Python;SQL,AI;Management;Startup,5,2020,Remote Job,Software Engineer
BTech,AI/ML;Machine Learning;Problem Solving;Python;SQL,Coding;Data,2,2024,High Salary,AI Engineer
Other,Canva;Design;Finance;Problem Solving,Product Management;Startup,2,2024,Abroad Opportunity,UI/UX Designer
BTech,AI/ML;Cloud;Cybersecurity;Machine Learning;Python;SQL;Statistics;Teaching,Coding;Data;Startup,0,2026,Government,ML Engineer
BSc,Communication;Critical Thinking;Data Analysis;Statistics;Writing,Finance;Research,4,2022,Government,Research Analyst
BCom,Communication;Excel;Finance;Power BI;Statistics;Tableau,Data,4,2022,High Salary,Investment Analyst
BTech,Canva;Data Analysis;Excel;Power BI;Python;SQL;Statistics;Writing,Coding;Data,3,2023,Abroad Opportunity,Data Analyst
BA,Communication;Critical Thinking;Public Speaking;Video Editing,Healthcare;Research,3,2022,Job Security,Teacher
BTech,AI/ML;Cloud;Cybersecurity;Machine Learning;Python,AI,3,2021,High Salary,AI Engineer
MCom,Communication;Data Analysis;Statistics;Teaching;Writing,Healthcare;Research,0,2024,Job Security,Research Analyst
BSc,Communication;Marketing;Sales;Statistics;Writing,AI;Data,6,2020,Government,Research Analyst
BA,Communication;Critical Thinking;Design;Problem Solving,Consulting;Design;Product Management,4,2022,Job Security,UI/UX Designer
BSc,Communication;Critical Thinking;Data Analysis;Java;Marketing;Statistics;Writing,Data;Research,6,2020,Government,Research Analyst
MCA,AI/ML;Machine Learning;Public Speaking;Python;SQL,AI;Data,2,2024,High Salary,AI Engineer
BTech,AI/ML;Problem Solving;Python;SQL,Coding;Data,1,2024,Remote Job,AI Engineer
BCom,Canva;Communication;Machine Learning;Marketing;Video Editing;Writing,Marketing,5,2021,Startup Culture,Digital Marketer
BTech,AI/ML;Data Analysis;Machine Learning;Python;SQL;Statistics,AI;Research,4,2022,Startup Culture,Data Scientist
MCA,Cloud;Critical Thinking;Cybersecurity;Marketing;Power BI;Problem Solving;Python,Coding,2,2024,Job Security,Cybersecurity Analyst
BTech,Data Analysis;Excel;Problem Solving;Python;SQL,Consulting;Data,5,2021,High Salary,Business Analyst
MBA,AI/ML;Communication;Data Analysis;Excel;Problem Solving;Python;SQL,Business;Management;Startup,0,2026,Fast Growth,Operations Analyst
MTech,AI/ML;Cloud;Machine Learning;Problem Solving;Public Speaking;Python;SQL,Coding,2,2024,High Salary,AI Engineer
MBA,Communication;Data Analysis;Leadership;Python;Sales,Business;Coding;Startup,1,2025,Remote Job,Sales Manager
BA,Canva;Critical Thinking;Problem Solving,Data;Product Management;Startup,2,2024,High Salary,UI/UX Designer
MCom,Critical Thinking;Excel;Finance;Statistics,Trading,0,2025,Startup Culture,Investment Analyst
BCom,Communication;Excel;Leadership;Problem Solving;SQL;Video Editing,Business;Coding;Management,1,2025,High Salary,HR Analyst
MTech,AI/ML;Machine Learning;Public Speaking;SQL;Statistics,Coding;Data,2,2024,High Salary,ML Engineer
BCom,AI/ML;Communication;Data Analysis;Excel;Finance;Python;Statistics,Finance,6,2020,Remote Job,Financial Analyst
BBA,AI/ML;Communication;Data Analysis;Leadership;Problem Solving,Data;Design;Management,0,2026,Fast Growth,HR Analyst
BBA,Cloud;Communication;Java;Marketing;Video Editing;Writing,Startup,5,2021,Job Security,Digital Marketer
BCA,Data Analysis;Excel;Marketing;Power BI;Problem Solving;Python;SQL,Data,0,2025,Fast Growth,Data Analyst
MBA,Canva;Communication;Design;Leadership;Marketing;Video Editing;Writing,Design,0,2026,Fast Growth,Digital Marketer
MBA,Communication;Data Analysis;Statistics;Teaching,Business;Marketing,4,2022,Fast Growth,Marketing Analyst
BCom,Critical Thinking;Data Analysis;Statistics;Writing,Data;Healthcare,1,2024,Government,Research Analyst
BTech,Communication;Data Analysis;Leadership;Marketing,Product Management;Startup,2,2024,Fast Growth,Product Manager
BBA,Excel;Finance;Sales;Statistics,Business;Data;Finance,1,2024,Abroad Opportunity,Financial Analyst
BSc,AI/ML;Data Analysis;Machine Learning;Python;SQL,AI;Product Management,8,2018,Fast Growth,Data Scientist
MCA,Cloud;Java;Machine Learning;Python;SQL;Statistics,Startup,3,2023,Remote Job,Software Engineer
BTech,Cloud;Cybersecurity;Problem Solving,Startup,0,2026,Remote Job,Cloud Engineer
MTech,AI/ML;Cloud;Machine Learning;Problem Solving;Python;SQL,AI;Data,0,2026,Job Security,AI Engineer
BCA,Cloud;Critical Thinking;Problem Solving;Python;SQL,Coding,2,2024,Fast Growth,Software Engineer
Other,Canva;Communication;Design;Sales,Marketing;Product Management;Startup,3,2023,Abroad Opportunity,UI/UX Designer
MTech,Cloud;Machine Learning;Problem Solving;SQL;Tableau,Coding;Data,8,2018,High Salary,AI Engineer
BTech,Cloud;Critical Thinking;Cybersecurity;Problem Solving;Python,Cybersecurity,2,2024,Government,Cybersecurity Analyst
BBA,Communication;Data Analysis;Problem Solving,Business;Product Management,1,2024,Abroad Opportunity,Product Manager
BTech,Communication;Critical Thinking;Data Analysis;Excel;Power BI;Problem Solving;SQL;Tableau,Business;Data,2,2024,Fast Growth,Business Analyst
MCom,Communication;Critical Thinking;Data Analysis;Sales;Statistics;Teaching,Research,0,2026,Government,Research Analyst
BCA,Cloud;Power BI;Python;SQL;Statistics,Business;Data,3,2023,Abroad Opportunity,Data Analyst
BCom,Communication;Critical Thinking;Data Analysis;Excel;Finance;Statistics;Tableau,Finance,2,2023,Job Security,Investment Analyst
BA,Cloud;Critical Thinking;Public Speaking;Writing,Healthcare;Research,5,2021,High Salary,Teacher
BA,AI/ML;Communication;Critical Thinking;Data Analysis;Java;Statistics;Writing,Data;Healthcare,0,2026,Government,Research Analyst
MTech,Cloud;Leadership;Machine Learning;Python;SQL;Statistics,Data,2,2024,Abroad Opportunity,ML Engineer
MCA,AI/ML;Cloud;Critical Thinking;Machine Learning;Power BI;Python;SQL;Statistics,Coding;Data;Healthcare,1,2025,Government,ML Engineer
BBA,Communication;Leadership;Marketing;Problem Solving;Public Speaking;Sales;Writing,Business;Healthcare,1,2024,High Salary,Sales Manager
MBA,AI/ML;Communication;Data Analysis;Marketing;Sales;Statistics,Business;Trading,5,2021,Fast Growth,Marketing Analyst
BCom,Communication;Data Analysis;Excel;Finance;Statistics;Teaching;Writing,Data;Finance,1,2025,Job Security,Financial Analyst
BA,Communication;Data Analysis;Excel;Public Speaking;Statistics,Marketing,5,2021,Startup Culture,Marketing Analyst
BCA,Data Analysis;Excel;Power BI;Python;SQL;Statistics,Business;Data,2,2024,Fast Growth,Data Analyst
MCA,Excel;Leadership;Power BI;Python;SQL;Statistics,Business;Data,2,2024,Startup Culture,Data Analyst
BTech,Cybersecurity;Problem Solving;Python;Writing,Coding;Startup,0,2026,Remote Job,Cloud Engineer
MCA,Cloud;Critical Thinking;Java;Problem Solving;SQL,AI;Coding,0,2026,High Salary,Software Engineer
BTech,Cloud;Critical Thinking;Java;Machine Learning;Problem Solving;SQL,AI;Coding,4,2022,Abroad Opportunity,Software Engineer
BTech,Communication;Data Analysis;Marketing,Business;Product Management,3,2023,Abroad Opportunity,Product Manager
BBA,Communication;Critical Thinking;Finance;Sales,Finance;Teaching,0,2025,Abroad Opportunity,Investment Analyst
BCA,Cloud;Critical Thinking;Cybersecurity;Power BI;Python,Coding;Cybersecurity;Data,1,2025,High Salary,Cybersecurity Analyst
MCom,Canva;Communication;Critical Thinking;Data Analysis;Problem Solving;Statistics;Writing,Data;Research,5,2021,Government,Research Analyst
BTech,AI/ML;Cloud;Design;Machine Learning;Problem Solving;Python,Coding;Data,3,2022,Government,AI Engineer
MBA,Cloud;Communication;Excel;Finance;Power BI,Finance;Trading,3,2022,Abroad Opportunity,Investment Analyst
BA,Canva;Communication;Critical Thinking;Data Analysis;Design,Product Management;Startup;Trading,0,2025,Government,UI/UX Designer
BTech,AI/ML;Cloud;Excel;Machine Learning;Marketing;Python;SQL,Coding,1,2025,High Salary,ML Engineer
BSc,Cloud;Critical Thinking;Excel;Java;Problem Solving;Python;SQL,AI;Business;Coding,4,2021,Remote Job,Software Engineer
BTech,AI/ML;Cloud;Machine Learning;Python;SQL;Statistics,AI;Coding,1,2025,High Salary,ML Engineer
MCA,AI/ML;Cloud;Communication;Machine Learning;Problem Solving;Python;SQL,AI;Consulting;Data,1,2025,High Salary,AI Engineer
BSc,AI/ML;Data Analysis;Finance;Python;SQL;Statistics,Data,6,2019,Remote Job,Data Scientist
BCom,Cloud;Data Analysis;Leadership;Public Speaking;Sales,Business,1,2024,Job Security,Sales Manager
BBA,Communication;Critical Thinking;Problem Solving;SQL;Tableau;Teaching,Consulting;Data;Product Management,1,2025,High Salary,Business Analyst
BCom,Communication;Cybersecurity;Marketing;Sales;Writing,Marketing;Startup,1,2023,Startup Culture,Digital Marketer
BBA,Communication;Critical Thinking;Data Analysis;Excel;Problem Solving;SQL,Business;Data,1,2024,Remote Job,Operations Analyst
MCom,Communication;Data Analysis;Excel;Finance;Problem Solving;Statistics,Business;Coding;Finance,5,2019,Job Security,Financial Analyst
BCA,Cloud;Critical Thinking;Java;SQL,AI;Startup;Trading,1,2025,Remote Job,Software Engineer
Other,Canva;Communication;Excel;Power BI;Problem Solving,Design;Product Management,4,2022,Startup Culture,UI/UX Designer
BTech,AI/ML;Machine Learning;Python;Statistics,Coding;Data,2,2024,High Salary,ML Engineer
BA,Communication;Critical Thinking;Public Speaking;Writing,Research,4,2020,Remote Job,Teacher
BSc,Communication;Critical Thinking;Data Analysis;Statistics;Writing,Healthcare;Research,0,2025,Government,Research Analyst
MTech,AI/ML;Machine Learning;Python;Statistics;Writing,AI;Data;Research,2,2023,Fast Growth,Data Scientist
BSc,Communication;Critical Thinking;Data Analysis;Public Speaking,Data;Healthcare,0,2026,Government,Research Analyst
BBA,Communication;Data Analysis;Design;Marketing;Problem Solving;Statistics,Data;Healthcare;Marketing,3,2023,High Salary,Marketing Analyst
BA,Design;Marketing;Problem Solving;Video Editing;Writing,Marketing;Startup;Teaching,4,2022,Startup Culture,Digital Marketer
BCom,Communication;Design;Marketing;Public Speaking;Sales;Tableau,Consulting;Startup,0,2026,Government,Sales Manager
BBA,Leadership;Marketing;Public Speaking;Sales,Business;Startup,3,2023,Government,Sales Manager
